Name : nvn2hg giao dịch với conkuvodich12 || Time : 2023-02-25 00:04:31 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 8 Số lượng : 1;  8 Số lượng : 1;  7 Số lượng : 1;  7 Số lượng : 1;  9 Số lượng : 1; ] Xu nhận :0
Name : conkuvodich12 giao dịch với nvn2hg || Time : 2023-02-25 00:04:31 || Item chuyển : [ 8 Số lượng : 1;  8 Số lượng : 1;  7 Số lượng : 1;  7 Số lượng : 1;  9 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : nvn2hg giao dịch với conkuvodich12 || Time : 2023-02-25 00:06:31 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 284 Số lượng : 1;  285 Số lượng : 1;  285 Số lượng : 1;  284 Số lượng : 1;  285 Số lượng : 1;  8 Số lượng : 1;  9 Số lượng : 1;  9 Số lượng : 1; ] Xu nhận :0
Name : conkuvodich12 giao dịch với nvn2hg || Time : 2023-02-25 00:06:31 || Item chuyển : [ 284 Số lượng : 1;  285 Số lượng : 1;  285 Số lượng : 1;  284 Số lượng : 1;  285 Số lượng : 1;  8 Số lượng : 1;  9 Số lượng : 1;  9 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : conkuvodich12 giao dịch với nvn2hg || Time : 2023-02-25 00:13:52 || Item chuyển : [409 Số lượng : 1;409 Số lượng : 1;8 Số lượng : 1;8 Số lượng : 1;8 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : nvn2hg giao dịch với conkuvodich12 || Time : 2023-02-25 00:13:52 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[409 Số lượng : 1;409 Số lượng : 1;8 Số lượng : 1;8 Số lượng : 1;8 Số lượng : 1;] Xu nhận :0
Name : nvn2hg giao dịch với conkuvodich12 || Time : 2023-02-25 00:26:10 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 340 Số lượng : 806;  493 Số lượng : 1;  499 Số lượng : 1;  495 Số lượng : 1;  499 Số lượng : 1;  8 Số lượng : 1;  8 Số lượng : 1;  8 Số lượng : 1; ] Xu nhận :0
Name : conkuvodich12 giao dịch với nvn2hg || Time : 2023-02-25 00:26:10 || Item chuyển : [ 340 Số lượng : 806;  493 Số lượng : 1;  499 Số lượng : 1;  495 Số lượng : 1;  499 Số lượng : 1;  8 Số lượng : 1;  8 Số lượng : 1;  8 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : flydragon giao dịch với icefly || Time : 2023-02-25 00:54:50 || Item chuyển : [485 Số lượng : 1;743 Số lượng : 1;485 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;455 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : icefly giao dịch với flydragon || Time : 2023-02-25 00:54:50 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[485 Số lượng : 1;743 Số lượng : 1;485 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;455 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;456 Số lượng : 1;] Xu nhận :0
Name : flydragon giao dịch với icefly || Time : 2023-02-25 00:55:59 || Item chuyển : [456 Số lượng : 1;455 Số lượng : 1;456 Số lượng : 1;277 Số lượng : 2;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
