Name : mknjbh1234 giao dịch với sadboy1 || Time : 2023-02-27 00:05:07 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 455 Số lượng : 1;  455 Số lượng : 1;  574 Số lượng : 5;  455 Số lượng : 1;  455 Số lượng : 1;  456 Số lượng : 1;  573 Số lượng : 3;  455 Số lượng : 1;  455 Số lượng : 1;  455 Số lượng : 1;  455 Số lượng : 1;  575 Số lượng : 2; ] Xu nhận :0
Name : sadboy1 giao dịch với mknjbh1234 || Time : 2023-02-27 00:05:07 || Item chuyển : [ 455 Số lượng : 1;  455 Số lượng : 1;  574 Số lượng : 5;  455 Số lượng : 1;  455 Số lượng : 1;  456 Số lượng : 1;  573 Số lượng : 3;  455 Số lượng : 1;  455 Số lượng : 1;  455 Số lượng : 1;  455 Số lượng : 1;  575 Số lượng : 2; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : poseidon giao dịch với shoppe || Time : 2023-02-27 00:37:25 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 971 Số lượng : 43;  960 Số lượng : 10;  856 Số lượng : 74;  970 Số lượng : 49;  855 Số lượng : 68;  899 Số lượng : 75;  959 Số lượng : 54;  881 Số lượng : 90;  639 Số lượng : 3048;  641 Số lượng : 2966;  638 Số lượng : 2973;  640 Số lượng : 3087; ] Xu nhận :0
Name : shoppe giao dịch với poseidon || Time : 2023-02-27 00:37:25 || Item chuyển : [ 971 Số lượng : 43;  960 Số lượng : 10;  856 Số lượng : 74;  970 Số lượng : 49;  855 Số lượng : 68;  899 Số lượng : 75;  959 Số lượng : 54;  881 Số lượng : 90;  639 Số lượng : 3048;  641 Số lượng : 2966;  638 Số lượng : 2973;  640 Số lượng : 3087; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : poseidon giao dịch với shoppe || Time : 2023-02-27 00:38:06 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 649 Số lượng : 19573;  650 Số lượng : 19497;  651 Số lượng : 19867;  648 Số lượng : 19289;  236 Số lượng : 8242;  972 Số lượng : 19; ] Xu nhận :0
Name : shoppe giao dịch với poseidon || Time : 2023-02-27 00:38:06 || Item chuyển : [ 649 Số lượng : 19573;  650 Số lượng : 19497;  651 Số lượng : 19867;  648 Số lượng : 19289;  236 Số lượng : 8242;  972 Số lượng : 19; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : poseidon giao dịch với shoppe || Time : 2023-02-27 00:38:41 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 879 Số lượng : 22222;  880 Số lượng : 22222; ] Xu nhận :0
Name : shoppe giao dịch với poseidon || Time : 2023-02-27 00:38:41 || Item chuyển : [ 879 Số lượng : 22222;  880 Số lượng : 22222; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : flydragon giao dịch với imfan4u || Time : 2023-02-27 01:35:31 || Item chuyển : [639 Số lượng : 1264;641 Số lượng : 1197;640 Số lượng : 1222;638 Số lượng : 1216;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0
Name : imfan4u giao dịch với flydragon || Time : 2023-02-27 01:35:31 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[639 Số lượng : 1264;641 Số lượng : 1197;640 Số lượng : 1222;638 Số lượng : 1216;] Xu nhận :0
Name : imfan4u giao dịch với icefly || Time : 2023-02-27 01:36:04 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 641 Số lượng : 1024;  638 Số lượng : 987;  639 Số lượng : 963;  640 Số lượng : 1063; ] Xu nhận :0
